name,cuisines
TheGrillOnTheAlley,"Steak,Seafood,Grill"
GuptasRasoi,NorthIndian
BarbequeNation,"NorthIndian,European,Mediterranean"
SmokeTrailerGrill,American
LeChef,"Chinese,NorthIndian"
AshishLalDhaba,NorthIndian
Caffe9,"NorthIndian,Continental,European,American,Mediterranean"
S18RadissonBlu,"Mediterranean,Continental,NorthIndian,Italian"
Gianis,"IceCream,Desserts"
AliBaba41Dishes,"Kerala,SouthIndian,Chinese,Biryani"
RajBakersAndConfectioners,"FastFood,Bakery"
T2DiHatti,StreetFood
TheBlueTandoor,"NorthIndian,Mughlai"
DominosPizza,"Pizza,FastFood"
KwalityWallsSwirls,IceCream
FabulousCakeBites,"Bakery,Desserts,FastFood,Pizza,Burger,FingerFood"
DarjeelingKanchanjangaMomos,"Chinese,FastFood"
JosPeaceofCake,"Bakery,Desserts"
TheRollingJoint,FastFood
GreenChickChop,"RawMeats,NorthIndian,FastFood"
Hakkasan,"Chinese,DimSum"
BikkganeBiryani,"Biryani,NorthIndian,Hyderabadi"
ChineseTadka,Chinese
SwamiVaishnoDhaba,NorthIndian
ComenEat,"Chinese,FastFood"
NazeerDelicacies,"NorthIndian,Mughlai"
KuttysSouthIndianCafe,SouthIndian
FlirtyMomos,Chinese
DilliBakery,"Bakery,FastFood"
BurgerLust,FastFood
UrbanDhaba,NorthIndian
GelatoVinto,"Desserts,IceCream"
ChezPapillonsbyBonjourChocolates,Cafe
KathiJunction,FastFood
MeghanshBakery,"Bakery,Desserts"
LovecrumbsBakery,Bakery
TheCoffeeClub,Cafe
RashisDeLaCreme,Bakery
JalebiWala,Desserts
PanjTaara,NorthIndian
TheTastyCorner,"NorthIndian,Chinese"
"34,ChowringheeLane",FastFood
Vikings,"Seafood,Filipino,Asian,European"
RoyalSweets,"NorthIndian,Mithai,Chinese"
ModiPastryCorner,"Bakery,FastFood"
Instapizza,"Pizza,FastFood"
Frontier,Bakery
MotherDairyIceCream,"Desserts,IceCream,NorthIndian"
